r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,Boitsfort 2,XX,2.5,4,2.5,3,3.5,2.5,3,2.5,3,26.5,18
2,Uccle 1,1.5,XX,2,4,1.5,4,3,3,2,4,25,12
3,Dworp 1,0,2,XX,3.5,1,2.5,2,3,2,4,20,11
4,Waterloo 2,1.5,0,0.5,XX,3.5,2,3.5,2,2,3,18,9
5,Mons 2,1,2.5,3,0.5,XX,3,2,3,1,1,17,9
6,Fous du Roy 1,0.5,0,1.5,2,1,XX,2,1.5,3.5,4,16,6
7,Pantin 2,1.5,1,2,0.5,2,2,XX,1.5,3,2,15.5,6
8,Anderlecht 4,1,1,1,2,1,2.5,2.5,XX,3,1,15,7
9,CRE Bruxelles 4,1.5,2,2,2,3,0.5,1,1,XX,2,15,6
10,Thibaut 2,1,0,0,1,3,0,2,3,2,XX,12,6
