r,team,1,2,3,4,5,6,7,8,9,10,bp,mp
1,Jumet 1,XX,3.5,3.5,2.5,2,4,4,3.5,3,4,30,17
2,CRE Charleroi 2,0.5,XX,2.5,2.5,2,2.5,2,3.5,4,4,23.5,14
3,Dworp 2,0.5,1.5,XX,3,1.5,3.5,2.5,4,2.5,4,23,12
4,Pantin 2,1.5,1.5,1,XX,3,2.5,2.5,3.5,3,3.5,22,12
5,Uccle 2,2,2,2.5,1,XX,0.5,2.5,2.5,1,3.5,17.5,10
6,Soignies 2,0,1.5,0.5,1.5,3.5,XX,3.5,0.5,2.5,2.5,16,8
7,Montignies 1,0,2,1.5,1.5,1.5,0.5,XX,1.5,3,4,15.5,5
8,Fous du Roy 1,0.5,0.5,0,0.5,1.5,3.5,2.5,XX,2,4,15,7
9,Roque 3,1,0,1.5,1,3,1.5,1,2,XX,4,15,5
10,Anderlecht 5,0,0,0,0.5,0.5,1.5,0,0,0,XX,2.5,0
